product_id,brand,listing_price,sale_price,discount,revenue,rating,reviews
EG4957,Adidas,79.99,79.99,0.0,5471.32,4.9,38.0
BD7438,Adidas,79.99,39.99,0.5,6118.47,4.0,85.0
B75579,Adidas,49.99,24.99,0.5,269.89,4.3,6.0
CM0057,Adidas,12.99,7.79,0.4,645.01,2.2,46.0
CL0206,Adidas,14.99,7.49,0.5,121.34,3.7,9.0
CJ8058,Adidas,59.99,29.99,0.5,4696.43,2.7,87.0
BZ0086,Adidas,79.99,39.99,0.5,2015.5,2.0,28.0
CJ8117,Adidas,45.99,22.99,0.5,3600.23,4.0,87.0
CJ8073,Adidas,55.99,27.99,0.5,3325.21,2.5,66.0
CL7551,Adidas,47.99,23.99,0.5,2331.83,5.0,54.0
AC8122,Adidas,79.99,39.99,0.5,4750.81,4.2,66.0
CM8453,Adidas,199.99,99.99,0.5,179.98,3.5,1.0
EE3625,Adidas,159.99,79.99,0.5,13534.31,0.0,94.0
CM0031,Adidas,45.99,22.99,0.5,2027.72,0.0,49.0
EE7697,Adidas,49.99,24.99,0.5,269.89,3.5,6.0
F36159,Adidas,52.99,26.49,0.5,4720.52,2.4,99.0
F35028,Adidas,19.99,9.99,0.5,1204.79,0.0,67.0
AC7042,Adidas,99.99,49.99,0.5,4409.12,3.1,49.0
CJ8053,Adidas,59.99,29.99,0.5,2267.24,4.4,42.0
BC0836,Adidas,89.99,44.99,0.5,7288.38,3.4,90.0
F35275,Adidas,65.99,32.99,0.5,5225.62,3.8,88.0
CJ8115,Adidas,45.99,22.99,0.5,1820.81,3.0,44.0
CJ8089,Adidas,49.99,24.99,0.5,3328.67,3.5,74.0
EE6128,Adidas,59.99,35.99,0.4,1230.86,4.3,19.0
CJ8118,Adidas,45.99,22.99,0.5,2234.63,2.2,54.0
CL7328,Adidas,47.99,23.99,0.5,3411.38,3.5,79.0
CL7470,Adidas,55.99,27.99,0.5,251.91,4.0,5.0
CL7541,Adidas,49.99,24.99,0.5,4318.27,3.8,96.0
CL9928,Adidas,35.99,21.59,0.4,1593.34,2.4,41.0
CM0045,Adidas,15.99,9.59,0.4,138.1,3.8,8.0
CL7599,Adidas,47.99,23.99,0.5,3454.56,4.3,80.0
CM0069,Adidas,12.99,7.79,0.4,308.48,3.0,22.0
CL7552,Adidas,47.99,23.99,0.5,2936.38,4.8,68.0
EE9816,Adidas,65.99,32.99,0.5,178.15,4.4,3.0
CL7545,Adidas,55.99,27.99,0.5,2317.57,3.4,46.0
EE5060,Adidas,89.99,53.99,0.4,4859.1,3.5,50.0
F36718,Adidas,55.99,33.59,0.4,4534.65,3.0,75.0
CL9927,Adidas,35.99,21.59,0.4,2759.2,4.3,71.0
CL7285,Adidas,42.99,21.49,0.5,1856.74,1.0,48.0
CL7471,Adidas,55.99,27.99,0.5,1813.75,3.8,36.0
B96360,Adidas,79.99,39.99,0.5,503.87,4.5,7.0
EE5778,Adidas,89.99,53.99,0.4,6705.56,2.6,69.0
EE4519,Adidas,79.99,47.99,0.4,6133.12,4.4,71.0
EE4504,Adidas,79.99,47.99,0.4,5614.83,2.0,65.0
EE4697,Adidas,65.99,39.59,0.4,213.79,3.8,3.0
CM0044,Adidas,15.99,9.59,0.4,1277.39,4.7,74.0
EE6045,Adidas,79.99,47.99,0.4,172.76,2.0,2.0
CG6091,Adidas,99.99,49.99,0.5,7558.49,3.7,84.0
G27834,Adidas,139.99,69.99,0.5,4283.39,3.6,34.0
CL7598,Adidas,47.99,23.99,0.5,2331.83,3.9,54.0
EE4709,Adidas,75.99,45.59,0.4,4021.04,2.8,49.0
EE4948,Adidas,119.99,71.99,0.4,4535.37,4.9,35.0
EE9671,Adidas,69.99,41.99,0.4,3627.94,2.4,48.0
EE7046,Adidas,79.99,47.99,0.4,2159.55,4.8,25.0
EF0451,Adidas,49.99,34.99,0.3,3212.08,4.6,51.0
EE4561,Adidas,75.99,45.59,0.4,984.74,3.9,12.0
CL7601,Adidas,47.99,23.99,0.5,2202.28,3.7,51.0
CL7330,Adidas,47.99,23.99,0.5,1338.64,3.8,31.0
CM6625,Adidas,24.99,17.49,0.3,1290.76,4.8,41.0
FV3395,Adidas,75.99,53.19,0.3,478.71,4.2,5.0
EF9317,Adidas,65.99,39.59,0.4,5558.44,3.7,78.0
EF4954,Adidas,79.99,55.99,0.3,9675.07,2.2,96.0
EE7104,Adidas,75.99,45.59,0.4,2133.61,3.9,26.0
FV4070,Adidas,79.99,55.99,0.3,5341.45,3.3,53.0
FV3918,Adidas,89.99,62.99,0.3,8843.8,4.3,78.0
EE5055,Adidas,49.99,29.99,0.4,4858.38,2.0,90.0
CM6626,Adidas,24.99,17.49,0.3,3022.27,4.8,96.0
CQ2030,Adidas,159.99,79.99,0.5,11806.52,4.7,82.0
EE5292,Adidas,75.99,45.59,0.4,5662.28,3.6,69.0
BD8041,Adidas,75.99,37.99,0.5,1436.02,2.8,21.0
B37719,Adidas,75.99,45.59,0.4,7221.46,2.7,88.0
EE4505,Adidas,79.99,47.99,0.4,2764.22,3.7,32.0
CM0072,Adidas,9.99,4.99,0.5,179.64,3.2,20.0
EF0795,Adidas,65.99,39.59,0.4,3135.53,2.9,44.0
EE5875,Adidas,65.99,39.59,0.4,4917.08,1.5,69.0
EE4947,Adidas,119.99,71.99,0.4,8552.41,4.3,66.0
CM6627,Adidas,24.99,17.49,0.3,2046.33,3.4,65.0
CQ2039,Adidas,169.99,84.99,0.5,8566.99,5.0,56.0
CG6193,Adidas,75.99,53.19,0.3,1436.13,1.0,15.0
S82260,Adidas,119.99,48.0,0.6,4406.4,3.5,51.0
EE4945,Adidas,119.99,71.99,0.4,10884.89,3.4,84.0
EE7155,Adidas,79.99,47.99,0.4,4923.77,1.0,57.0
B44846,Adidas,59.99,29.99,0.5,2321.23,3.2,43.0
EE6044,Adidas,79.99,47.99,0.4,7169.71,4.0,83.0
EE7045,Adidas,79.99,47.99,0.4,5355.68,2.5,62.0
CL7646,Adidas,26.99,21.59,0.2,1904.24,2.8,49.0
CL7346,Adidas,29.99,23.99,0.2,1597.73,2.7,37.0
EE5777,Adidas,89.99,53.99,0.4,3692.92,2.8,38.0
AQ1210,Adidas,99.99,49.99,0.5,7918.42,2.9,88.0
EF5925,Adidas,79.99,55.99,0.3,9876.64,4.3,98.0
EE7032,Adidas,119.99,71.99,0.4,12051.13,3.6,93.0
EE7708,Adidas,79.99,47.99,0.4,1554.88,4.1,18.0
AQ1119,Adidas,129.99,64.99,0.5,2690.59,3.7,23.0
F34311,Adidas,79.99,39.99,0.5,4246.94,3.6,59.0
CL7645,Adidas,26.99,21.59,0.2,3497.58,4.6,90.0
EE5089,Adidas,89.99,53.99,0.4,3595.73,3.7,37.0
CL7565,Adidas,49.99,24.99,0.5,2114.15,3.0,47.0
G27727,Adidas,79.99,39.99,0.5,3311.17,4.6,46.0
B44697,Adidas,79.99,39.99,0.5,6118.47,0.0,85.0
CL7400,Adidas,55.99,27.99,0.5,3425.98,4.1,68.0
CL7437,Adidas,52.99,26.49,0.5,3528.47,4.4,74.0
CL7563,Adidas,49.99,24.99,0.5,44.98,3.7,1.0
CL7460,Adidas,59.99,29.99,0.5,2591.14,2.0,48.0
CL7507,Adidas,49.99,24.99,0.5,0.0,4.8,0.0
CM0061,Adidas,12.99,7.79,0.4,196.31,2.7,14.0
F34308,Adidas,79.99,39.99,0.5,4966.76,4.0,69.0
CL7506,Adidas,49.99,24.99,0.5,3733.51,4.7,83.0
CL7344,Adidas,29.99,23.99,0.2,3713.65,2.0,86.0
EE5318,Adidas,109.99,65.99,0.4,10690.38,3.5,90.0
CL7564,Adidas,49.99,24.99,0.5,2608.96,4.6,58.0
CL7439,Adidas,52.99,26.49,0.5,3480.79,4.8,73.0
CL7345,Adidas,29.99,23.99,0.2,475.0,2.8,11.0
CL7644,Adidas,26.99,21.59,0.2,1243.58,4.6,32.0
CL7438,Adidas,52.99,26.49,0.5,3719.2,2.7,78.0
CK9843,Adidas,27.99,16.79,0.4,1420.43,1.5,47.0
EE8738,Adidas,89.99,53.99,0.4,7871.74,4.4,81.0
CL7576,Adidas,55.99,27.99,0.5,755.73,4.0,15.0
CL7482,Adidas,45.99,22.99,0.5,4055.44,4.2,98.0
EE6129,Adidas,59.99,35.99,0.4,64.78,4.0,1.0
EG3290,Adidas,39.99,39.99,0.0,3671.08,2.9,51.0
CL7467,Adidas,55.99,27.99,0.5,2871.77,4.7,57.0
EF1426,Adidas,99.99,49.99,0.5,4499.1,3.2,50.0
CL7264,Adidas,49.99,29.99,0.4,4318.56,2.7,80.0
CL7472,Adidas,55.99,27.99,0.5,3778.65,4.5,75.0
CL7560,Adidas,45.99,22.99,0.5,3724.38,3.8,90.0
EE4574,Adidas,75.99,45.59,0.4,5580.22,4.0,68.0
CL7445,Adidas,42.99,21.49,0.5,580.23,4.6,15.0
CL7404,Adidas,39.99,19.99,0.5,2302.85,3.8,64.0
CL7515,Adidas,52.99,26.49,0.5,3766.88,3.3,79.0
EE4763,Adidas,79.99,47.99,0.4,6046.74,4.1,70.0
CL7616,Adidas,39.99,23.99,0.4,2936.38,1.0,68.0
CL7591,Adidas,42.99,21.49,0.5,889.69,4.4,23.0
CK9831,Adidas,27.99,13.99,0.5,1762.74,3.3,70.0
EF2508,Adidas,65.99,39.59,0.4,2993.0,4.9,42.0
CL7495,Adidas,45.99,22.99,0.5,3186.41,3.8,77.0
EE5592,Adidas,109.99,65.99,0.4,6176.66,4.1,52.0
EE5304,Adidas,129.99,77.99,0.4,4071.08,4.5,29.0
EE7242,Adidas,79.99,47.99,0.4,8033.53,4.5,93.0
CM0064,Adidas,14.99,7.49,0.5,323.57,2.6,24.0
EE7885,Adidas,65.99,39.59,0.4,71.26,2.2,1.0
CM0049,Adidas,14.99,8.99,0.4,1343.11,2.4,83.0
CL7548,Adidas,47.99,23.99,0.5,2936.38,3.9,68.0
CK1088,Adidas,55.99,27.99,0.5,3677.89,3.5,73.0
CL7263,Adidas,49.99,24.99,0.5,2249.1,3.6,50.0
CL7483,Adidas,45.99,22.99,0.5,2524.3,5.0,61.0
F34340,Adidas,65.99,32.99,0.5,2078.37,2.2,35.0
CL7590,Adidas,42.99,21.49,0.5,3790.84,4.4,98.0
CM0030,Adidas,45.99,22.99,0.5,2027.72,4.0,49.0
CL7468,Adidas,55.99,27.99,0.5,2519.1,1.5,50.0
EE8076,Adidas,55.99,33.59,0.4,3144.02,2.9,52.0
CM5955,Adidas,29.99,29.99,0.0,4912.36,3.4,91.0
B44870,Adidas,29.99,29.99,0.0,2753.08,4.7,51.0
CL7265,Adidas,49.99,24.99,0.5,3643.54,2.5,81.0
CL7484,Adidas,45.99,22.99,0.5,1986.34,3.7,48.0
CL7537,Adidas,59.99,35.99,0.4,6348.64,3.6,98.0
EE8088,Adidas,45.99,27.59,0.4,446.96,4.2,9.0
CL7577,Adidas,55.99,27.99,0.5,1763.37,1.5,35.0
CM0058,Adidas,12.99,7.79,0.4,1093.72,4.3,78.0
EE7698,Adidas,49.99,29.99,0.4,4858.38,1.0,90.0
CM0009,Adidas,59.99,29.99,0.5,809.73,4.8,15.0
EE7884,Adidas,69.99,41.99,0.4,151.16,2.5,2.0
F36922,Adidas,79.99,39.99,0.5,5614.6,2.7,78.0
DB3114,Adidas,75.99,37.99,0.5,3213.95,1.5,47.0
F36217,Adidas,49.99,24.99,0.5,1079.57,4.7,24.0
EE8272,Adidas,49.99,29.99,0.4,1889.37,4.6,35.0
CL7538,Adidas,49.99,24.99,0.5,3283.69,3.1,73.0
EF0695,Adidas,79.99,47.99,0.4,3714.43,3.8,43.0
DB3599,Adidas,99.99,49.99,0.5,3149.37,4.4,35.0
CL7321,Adidas,35.99,21.59,0.4,2059.69,4.7,53.0
DB2117,Adidas,79.99,39.99,0.5,5974.51,4.9,83.0
EE4698,Adidas,65.99,39.59,0.4,3206.79,2.8,45.0
B28166,Adidas,79.99,39.99,0.5,4750.81,4.3,66.0
DB3259,Adidas,75.99,37.99,0.5,5128.65,4.9,75.0
EE5534,Adidas,79.99,47.99,0.4,8119.91,2.0,94.0
EF0811,Adidas,79.99,39.99,0.5,431.89,3.3,6.0
CK9723,Adidas,37.99,18.99,0.5,2221.83,1.0,65.0
CL7322,Adidas,35.99,21.59,0.4,1399.03,4.5,36.0
CG6021,Adidas,119.99,59.99,0.5,2699.55,2.8,25.0
CG6188,Adidas,139.99,69.99,0.5,1007.86,3.3,8.0
BD7685,Adidas,79.99,39.99,0.5,5398.65,3.2,75.0
BD7475,Adidas,75.99,37.99,0.5,6427.91,4.3,94.0
EF9226,Adidas,75.99,45.59,0.4,4677.53,3.7,57.0
F34668,Adidas,65.99,32.99,0.5,4572.41,1.0,77.0
EE8257,Adidas,37.99,22.79,0.4,1066.57,3.2,26.0
B37973,Adidas,119.99,59.99,0.5,3995.33,4.1,37.0
EE7068,Adidas,75.99,45.59,0.4,1969.49,0.0,24.0
EH1363,Adidas,59.99,59.99,0.0,647.89,2.4,6.0
EE5772,Adidas,89.99,53.99,0.4,8163.29,1.5,84.0
EF2437,Adidas,179.99,89.99,0.5,4049.55,2.2,25.0
CM0070,Adidas,12.99,7.79,0.4,1388.18,5.0,99.0
D96760,Adidas,119.99,59.99,0.5,971.84,3.4,9.0
CM0077,Adidas,12.99,7.79,0.4,490.77,3.5,35.0
CM0091,Adidas,14.99,7.49,0.5,337.05,3.0,25.0
CL7550,Adidas,47.99,23.99,0.5,561.37,1.0,13.0
F36675,Adidas,39.99,23.99,0.4,1943.19,4.7,45.0
EF1065,Adidas,65.99,39.59,0.4,2422.91,3.4,34.0
EH1361,Adidas,59.99,59.99,0.0,1403.77,2.2,13.0
CL0243,Adidas,12.99,6.49,0.5,700.92,5.0,60.0
CG6177,Adidas,139.99,69.99,0.5,11464.36,3.9,91.0
FV3288,Adidas,79.99,79.99,0.0,4751.41,2.4,33.0
EE4949,Adidas,119.99,71.99,0.4,5053.7,2.0,39.0
BB2344,Adidas,99.99,40.0,0.6,2448.0,3.9,34.0
EE6080,Adidas,59.99,29.99,0.5,3616.79,1.0,67.0
EE6047,Adidas,79.99,47.99,0.4,7169.71,3.6,83.0
EF0078,Adidas,75.99,45.59,0.4,4021.04,2.2,49.0
EE5565,Adidas,79.99,47.99,0.4,5528.45,3.2,64.0
EF4965,Adidas,79.99,79.99,0.0,2591.68,4.0,18.0
EE4946,Adidas,119.99,71.99,0.4,9589.07,0.0,74.0
B37090,Adidas,99.99,49.99,0.5,7288.54,4.2,81.0
F36516,Adidas,42.99,25.79,0.4,1392.66,3.5,30.0
DB3112,Adidas,59.99,29.99,0.5,3454.85,3.4,64.0
EH1366,Adidas,59.99,59.99,0.0,7774.7,4.8,72.0
CG6164,Adidas,79.99,39.99,0.5,6262.43,3.3,87.0
EE4959,Adidas,119.99,71.99,0.4,5572.03,2.7,43.0
EF2438,Adidas,179.99,107.99,0.4,2915.73,3.7,15.0
F35567,Adidas,69.99,34.99,0.5,5101.54,2.8,81.0
EE8165,Adidas,55.99,33.59,0.4,3264.95,2.9,54.0
EE5846,Adidas,65.99,39.59,0.4,1068.93,5.0,15.0
F34846,Adidas,55.99,27.99,0.5,856.49,0.0,17.0
B41663,Adidas,79.99,39.99,0.5,2159.46,3.2,30.0
CK9690,Adidas,42.99,21.49,0.5,2823.79,3.2,73.0
EE7927,Adidas,65.99,32.99,0.5,1603.31,2.2,27.0
CK9688,Adidas,49.99,24.99,0.5,1934.23,3.2,43.0
CK9424,Adidas,52.99,26.49,0.5,2336.42,3.0,49.0
CK9430,Adidas,55.99,27.99,0.5,4030.56,2.6,80.0
CG6228,Adidas,119.99,59.99,0.5,7018.83,3.1,65.0
DB3600,Adidas,99.99,49.99,0.5,7828.43,2.7,87.0
EE9892,Adidas,89.99,44.99,0.5,3482.23,3.5,43.0
CL7461,Adidas,45.99,22.99,0.5,2400.16,2.9,58.0
CK9678,Adidas,49.99,24.99,0.5,0.0,1.5,0.0
CK9696,Adidas,45.99,22.99,0.5,3889.91,4.1,94.0
CK9695,Adidas,45.99,22.99,0.5,2151.86,2.0,52.0
CK9683,Adidas,49.99,24.99,0.5,1754.3,4.6,39.0
CK9692,Adidas,49.99,24.99,0.5,944.62,3.8,21.0
EE7919,Adidas,59.99,29.99,0.5,4696.43,4.3,87.0
CL7517,Adidas,52.99,26.49,0.5,2002.64,2.7,42.0
CK9698,Adidas,45.99,22.99,0.5,331.06,4.7,8.0
CK9418,Adidas,55.99,27.99,0.5,3728.27,2.7,74.0
EF0322,Adidas,129.99,77.99,0.4,3228.79,2.5,23.0
CK9427,Adidas,52.99,26.49,0.5,2813.24,5.0,59.0
EF0435,Adidas,55.99,27.99,0.5,4987.82,2.4,99.0
CJ8090,Adidas,49.99,24.99,0.5,1259.5,3.6,28.0
CL7542,Adidas,49.99,24.99,0.5,4363.25,2.7,97.0
CL7311,Adidas,35.99,17.99,0.5,712.4,2.5,22.0
EE8028,Adidas,59.99,29.99,0.5,809.73,3.6,15.0
CL7398,Adidas,55.99,27.99,0.5,1410.7,4.9,28.0
CL7306,Adidas,39.99,19.99,0.5,2518.74,4.1,70.0
CK9697,Adidas,45.99,22.99,0.5,1779.43,3.9,43.0
CI9915,Adidas,49.99,24.99,0.5,2923.83,3.4,65.0
CK9590,Adidas,52.99,26.49,0.5,2431.78,1.0,51.0
CL7458,Adidas,59.99,29.99,0.5,4804.4,4.1,89.0
CI9913,Adidas,49.99,24.99,0.5,4318.27,3.5,96.0
CL7459,Adidas,59.99,29.99,0.5,3994.67,4.3,74.0
CI9991,Adidas,49.99,24.99,0.5,2608.96,2.4,58.0
F36996,Adidas,55.99,27.99,0.5,100.76,3.3,2.0
CJ7974,Adidas,52.99,26.49,0.5,2527.15,4.7,53.0
CL7588,Adidas,42.99,21.49,0.5,309.46,3.4,8.0
CL7407,Adidas,39.99,19.99,0.5,3274.36,4.8,91.0
CL7406,Adidas,39.99,19.99,0.5,3058.47,0.0,85.0
CK9420,Adidas,55.99,27.99,0.5,100.76,4.6,2.0
CL7389,Adidas,55.99,27.99,0.5,2015.28,3.5,40.0
CL7516,Adidas,52.99,26.49,0.5,1335.1,4.8,28.0
CI9989,Adidas,49.99,24.99,0.5,809.68,2.2,18.0
CL7405,Adidas,39.99,19.99,0.5,1763.12,3.8,49.0
CL7473,Adidas,55.99,27.99,0.5,151.15,3.5,3.0
CJ8110,Adidas,45.99,22.99,0.5,289.67,2.5,7.0
CJ8019,Adidas,45.99,22.99,0.5,2193.25,4.6,53.0
CK9604,Adidas,45.99,22.99,0.5,1075.93,3.9,26.0
CK9431,Adidas,55.99,27.99,0.5,2468.72,1.5,49.0
EE7289,Adidas,59.99,35.99,0.4,3757.36,3.7,58.0
B75580,Adidas,49.99,24.99,0.5,3553.58,4.3,79.0
CK9432,Adidas,55.99,27.99,0.5,856.49,2.5,17.0
EE4925,Adidas,119.99,71.99,0.4,12051.13,2.8,93.0
EE4953,Adidas,119.99,71.99,0.4,4146.62,2.0,32.0
CL7469,Adidas,55.99,27.99,0.5,4887.05,2.0,97.0
EF8858,Adidas,79.99,47.99,0.4,2505.08,1.0,29.0
EF9219,Adidas,75.99,45.59,0.4,7303.52,4.5,89.0
CL7513,Adidas,52.99,26.49,0.5,2956.28,2.7,62.0
EE7098,Adidas,89.99,53.99,0.4,2138.0,3.9,22.0
CL7425,Adidas,45.99,22.99,0.5,3517.47,4.9,85.0
CL7508,Adidas,49.99,24.99,0.5,2114.15,4.0,47.0
EE7292,Adidas,55.99,33.59,0.4,2297.56,4.2,38.0
CL7589,Adidas,42.99,21.49,0.5,1547.28,3.0,40.0
CJ8061,Adidas,59.99,29.99,0.5,4966.34,3.7,92.0
EE5847,Adidas,65.99,39.59,0.4,1425.24,4.7,20.0
CK9686,Adidas,49.99,24.99,0.5,1934.23,4.1,43.0
EE4567,Adidas,75.99,45.59,0.4,6975.27,4.4,85.0
EE5585,Adidas,79.99,47.99,0.4,3196.13,3.8,37.0
B96519,Adidas,69.99,34.99,0.5,1952.44,5.0,31.0
B96563,Adidas,65.99,26.4,0.6,760.32,2.8,16.0
CL7547,Adidas,55.99,27.99,0.5,2116.04,4.7,42.0
EE4563,Adidas,75.99,45.59,0.4,6729.08,4.2,82.0
F36475,Adidas,52.99,26.49,0.5,4005.29,4.6,84.0
FV8794,Adidas,55.99,55.99,0.0,4434.41,5.0,44.0
EE5177,Adidas,129.99,77.99,0.4,10669.03,3.0,76.0
CL7582,Adidas,45.99,22.99,0.5,496.58,3.8,12.0
F36339,Adidas,49.99,49.99,0.0,3509.3,4.1,39.0
EF1963,Adidas,79.99,47.99,0.4,1036.58,2.2,12.0
F34442,Adidas,45.99,22.99,0.5,1075.93,4.1,26.0
EE9933,Adidas,55.99,55.99,0.0,8969.6,4.2,89.0
EE6090,Adidas,59.99,35.99,0.4,1036.51,2.4,16.0
B75583,Adidas,47.99,23.99,0.5,3281.83,4.5,76.0
EE7922,Adidas,59.99,29.99,0.5,5020.33,4.6,93.0
EE5081,Adidas,49.99,24.99,0.5,2294.08,2.9,51.0
EE4678,Adidas,79.99,47.99,0.4,2936.99,4.1,34.0
CM0076,Adidas,12.99,7.79,0.4,546.86,4.4,39.0
B28156,Adidas,79.99,47.99,0.4,4664.63,4.9,54.0
EF0527,Adidas,49.99,49.99,0.0,7288.54,4.1,81.0
EE4566,Adidas,75.99,45.59,0.4,4923.72,3.3,60.0
EE8302,Adidas,49.99,49.99,0.0,1709.66,4.2,19.0
CM0075,Adidas,9.99,5.99,0.4,614.57,3.4,57.0
EF0152,Adidas,55.99,55.99,0.0,1612.51,2.2,16.0
CM0093,Adidas,14.99,8.99,0.4,32.36,3.7,2.0
F36218,Adidas,49.99,49.99,0.0,3509.3,4.5,39.0
CM0083,Adidas,9.99,5.99,0.4,625.36,4.0,58.0
CM0078,Adidas,12.99,7.79,0.4,532.84,3.0,38.0
CM0079,Adidas,12.99,7.79,0.4,897.41,2.9,64.0
CM0074,Adidas,9.99,5.99,0.4,237.2,4.2,22.0
CM0073,Adidas,9.99,5.99,0.4,1002.73,4.4,93.0
CM0092,Adidas,14.99,8.99,0.4,873.83,2.6,54.0
EG8672,Adidas,55.99,55.99,0.0,2721.11,0.0,27.0
EG8480,Adidas,45.99,45.99,0.0,6622.56,4.4,80.0
EG3148,Adidas,45.99,45.99,0.0,745.04,4.0,9.0
CM0082,Adidas,9.99,5.99,0.4,312.68,3.6,29.0
EG3185,Adidas,49.99,49.99,0.0,2789.44,4.7,31.0
EG4006,Adidas,55.99,55.99,0.0,100.78,3.9,1.0
EG4007,Adidas,55.99,55.99,0.0,9473.51,3.2,94.0
EH1178,Adidas,49.99,49.99,0.0,5848.83,4.3,65.0
EG4316,Adidas,65.99,65.99,0.0,712.69,3.4,6.0
